Gene	Name
Traes_2DL_7A9E10914	ZEP
Traes_2BL_047344CB6	ZEP
Traes_2DL_AE9C5933A	ZEP
Traes_2DL_7A9E10914	ZEP
Traes_5BS_B626C522B	NCED
Traes_5BS_8D39DFC55	NCED
Traes_4BL_FF716FF99	NCED
Traes_1AS_84BD0B7BD	NCED
Traes_5DL_24B910506	NCED
Traes_5BL_4BED1CA17	NCED
Traes_5BL_370D667EC	NCED
Traes_5AS_EC39BB7B6	NCED
Traes_6DL_037954803	NCED
Traes_5AS_3F5DE64F8	NCED
Traes_2AL_BDB97A5BA	NCED
Traes_5AL_2D155BBEF	NCED
Traes_5AS_A110BF758	NCED
Traes_5DS_BDF5CCD6F	NCED
Traes_5BS_A37A9B280	NCED
Traes_2BL_715B06E9E	NCED
Traes_4DL_3982EBE36	NCED
Traes_4AS_37D003A63	NCED
Traes_5DS_40E5E894D	NCED
Traes_5DS_E58EBABFD	NCED
Traes_4BS_9C98BB1AB	NCED
Traes_7DL_9A293EA4D	AAO
Traes_5BL_EF43E6E17	AAO
Traes_1DL_054225459	AAO
Traes_5DL_F77D98CBB	AAO
Traes_7BL_2264A26D1	AAO
Traes_1BL_5A31CB72E	AAO
Traes_7DL_8C39B6775	AAO
Traes_5DL_F2CECDE24	AAO
Traes_2DL_452E6A0A2	AAO
Traes_1BL_525464407	AAO
Traes_6DS_E35D3E8AD	AAO
Traes_5DL_DBC7AAED1	AAO
Traes_1AL_D4D0050BD	AAO
Traes_1AL_7763B43BF	AAO
Traes_5AL_B118204A1	AAO
Traes_5BL_1430C137A	AAO
Traes_2AL_2C4546D2D	AAO
Traes_5AL_E23E4F6DC	AAO
Traes_5DL_154741703	AAO
Traes_7BL_E01E0D14B	AAO
Traes_5BL_7FB8945A4	AAO
Traes_7DL_E5EECE349	AAO
Traes_5AL_4BC770677	AAO
Traes_5AL_CAA4B5F05	AAO
Traes_5BL_34593C7D1	AAO
Traes_2DL_AFC3215D6	AAO
Traes_2BL_E4FEA073B	AAO
Traes_1DL_BA85EEBCA	AAO
Traes_7AL_3363AD1E0	AAO
Traes_7BL_CF034207F	AAO
Traes_5AL_41CE36BAE	AAO
Traes_2DS_E8AF0C541	ABA2/SDR
Traes_2DL_5197096F4	ABA2/SDR
Traes_2DS_8DFDD01F1	ABA2/SDR
Traes_2AS_1BCD8C55D	ABA2/SDR
Traes_2DS_8C092FE0A	ABA2/SDR
Traes_2DS_4958D86F5	ABA2/SDR
Traes_4BS_780D6DE66	ABA2/SDR
Traes_2DS_C50053547	ABA2/SDR
Traes_4BL_0EAEE6A211	ABA2/SDR
Traes_2DS_633206F3C	ABA2/SDR
Traes_2AS_71B3134F6	ABA2/SDR
Traes_2AS_CBF2D98D1	ABA2/SDR
Traes_2BS_4BB70C2E0	ABA2/SDR
Traes_2AS_A707C5A57	ABA2/SDR
Traes_2AS_3DA85F05D	ABA2/SDR
Traes_2BS_046E98640	ABA2/SDR
Traes_2AL_8CB04A12D	ABA2/SDR
Traes_5BL_F677E5737	ABA2/SDR
Traes_1BS_F01BB2CE3	ABA2/SDR
Traes_2BS_2C594923E	ABA2/SDR
Traes_5BL_2B94AACE6	ABA2/SDR
Traes_2AS_907B35CCA	ABA2/SDR
Traes_2BS_56373D360	ABA2/SDR
Traes_4AS_4BEF2DFAD	ABA2/SDR
Traes_3B_5B6A348ED	ABA2/SDR
Traes_5DL_9FC634D23	ABA2/SDR
Traes_1DS_889C95FE5	ABA2/SDR
Traes_3B_3B34344F5	ABA2/SDR
Traes_1AS_0F3ACDCFB	ABA2/SDR
Traes_2BL_0C2DC087B	ABA2/SDR
Traes_4AL_844FA7809	ABA2/SDR
Traes_2DS_4F77C02C7	ABA2/SDR
Traes_2AS_E4301E42F	ABA2/SDR
Traes_2BS_81A25E0A5	ABA2/SDR
Traes_2BS_E07D7794F	ABA2/SDR
Traes_2BS_39D4E2087	ABA2/SDR
Traes_2BS_E05D74F60	ABA2/SDR
Traes_2BS_B28893F6E	ABA2/SDR
Traes_7BL_455C22003	ABA3
Traes_7AL_ECB0591CC	ABA4
Traes_7DL_162505318	ABA5
