Gene	Name
Traes_1BS_101332870	ME
Traes_4DS_6E76F396D	ME
Traes_2AS_F30FF7FA9	ME
Traes_2DS_3F07E0FC5	ME
Traes_4AS_2AE6212B9	ME
Traes_3AL_416AB0A5B	ME
Traes_1AS_A53D11A37	ME
Traes_2BS_C7F2F2040	ME
Traes_1AL_387FCF604	ME
Traes_2AS_473FC3A24	ME
Traes_3AL_DA008F010	ME
Traes_1BL_A3626956E	ME
Traes_1DS_486DB7BFE	ME
Traes_7BL_E9B8C5973	ME
Traes_3B_EF4661AE0	ME
Traes_3AL_C0D1C4403	ME
Traes_1DL_5AE278890	ME
Traes_3B_797F9B654	ME
Traes_1AL_9B315EE59	ME
Traes_3DL_F982BF0FB	ME
Traes_3B_DB8AFBE4F	ME
Traes_3DS_73D9DA0AA	ME
Traes_3DL_6DE7463D7	ME
Traes_3AS_5A0EB37C5	ME
Traes_4DS_4059EDC7C	ME
