Gene	Name
Traes_2DL_6CD064E13	OST
Traes_2AL_C37FA7FDC	OST
Traes_2AL_E6C281385	OST
Traes_2AS_A56BC88C0	OST
Traes_5BL_2D13CB817	OST
Traes_2DL_0D1F37FF1	OST
Traes_1AL_E1701918C	OST
Traes_4DS_A5BFD8743	OST
Traes_5BS_78EC147D8	OST
Traes_2DS_34BEEC8AB	OST
Traes_1DL_A332C35A8	OST
Traes_3DL_5F257C9CD	OST
Traes_1BL_AC5FE4599	OST
Traes_3B_39C790430	OST
Traes_5AS_16B1B6B87	OST
Traes_1DL_E331E6071	OST
Traes_2BL_616F08780	OST
Traes_2DL_355E90C65	OST
Traes_2BL_A2B17613C	OST
Traes_5DL_EFDDC1FFB	OST
Traes_4BS_0A234D9E6	OST
Traes_5AL_4EE2511FA	OST
Traes_1AL_5FFFBAB47	OST
Traes_5DS_4ABE4DD6F	OST
Traes_2BL_B805C339B	OST
Traes_1BL_D20749C1D	OST
Traes_2BS_9D77461D8	OST
Traes_2AL_2FF604DA9	OST
Traes_2DL_8C9C3D08B	OST
Traes_2AL_EE1A590A6	OST
Traes_2BL_F85F9E8DC	OST
Traes_2AL_0DC5D0351	OST
Traes_2DL_C8C414EF8	OST
Traes_5AL_7EFBCD114	OST
Traes_4BL_674E6B910	OST
Traes_4DL_C84A62566	OST
Traes_4DL_C84A625661	OST
Traes_3B_54BCDD58B	OST
