Gene	Name
Traes_4AL_2E2679540	PP2C
Traes_5AS_30D57C0D1	PP2C
Traes_5DS_93720B26F	PP2C
Traes_5BL_7D80800A8	PP2C
Traes_4AS_0CCCE0F03	PP2C
Traes_2BL_F14413C65	PP2C
Traes_2DL_DC16D0749	PP2C
Traes_1BL_DECA5143E	PP2C
Traes_5BS_B1FFD1932	PP2C
Traes_7BL_2DF32901B	PP2C
Traes_5AL_71ED6646E	PP2C
Traes_4DL_4A295793A	PP2C
Traes_5AL_DB9B36ACF	PP2C
Traes_4BL_F23DD39E9	PP2C
Traes_3AL_DFFDA525C	PP2C
Traes_3DL_E7ACE67D7	PP2C
Traes_5BL_FF7C7A691	PP2C
Traes_5BL_7B7EA2851	PP2C
Traes_7DL_F6D0A2329	PP2C
Traes_7AL_8CA7BB1BA	PP2C
Traes_3B_F892ECD58	PP2C
Traes_4BL_B34CB245B	PP2C
Traes_1AL_630203F59	PP2C
Traes_3B_6EC772331	PP2C
Traes_2AL_E1B2BB4DC	PP2C
Traes_4DL_4F6999EEB	PP2C
Traes_1DL_C0F3A63C0	PP2C
