Gene	Name
Traes_1BS_F1838F858	PYR/PYL/RCAR
Traes_1AS_E462790E6	PYR/PYL/RCAR
Traes_1DS_4BB707532	PYR/PYL/RCAR
Traes_7BL_EE441A3E0	PYR/PYL/RCAR
Traes_7AL_66779BB7C	PYR/PYL/RCAR
Traes_7DL_89FE2E69D	PYR/PYL/RCAR
Traes_7DL_B5D39076B	PYR/PYL/RCAR
Traes_3AS_FF831326D	PYR/PYL/RCAR
Traes_3B_B2A7272D2	PYR/PYL/RCAR
Traes_3B_722714D29	PYR/PYL/RCAR
Traes_4AS_72BEF89AC	PYR/PYL/RCAR
Traes_4DL_3A1814A74	PYR/PYL/RCAR
Traes_4BL_E43C1BB11	PYR/PYL/RCAR
Traes_2BS_6428AA6CC	PYR/PYL/RCAR
Traes_2DS_9A99C3160	PYR/PYL/RCAR
Traes_3B_6FEADCE61	PYR/PYL/RCAR
Traes_1AL_B82F1573F	PYR/PYL/RCAR
