Gene	Name
Traes_7AL_C82A28683	QUAC
Traes_2DL_A32343359	QUAC
Traes_2BL_F0DF46606	QUAC
Traes_7BS_809727BF3	QUAC
Traes_7DL_022E1C2D2	QUAC
Traes_6AL_885470F9B	QUAC
Traes_6AL_F924ED809	QUAC
Traes_6AL_5D369F20D	QUAC
Traes_6BL_0FBA3B86F	QUAC
Traes_7DS_D0DBA9524	QUAC
Traes_7BS_80B499B9F	QUAC
Traes_6BL_18BB84302	QUAC
Traes_2DL_BC053DFBB	QUAC
Traes_3AS_528F7C8C8	QUAC
Traes_1AL_9CA532244	QUAC
Traes_6DL_9FBE3ECA5	QUAC
Traes_4DL_8E805248E	QUAC
Traes_6DL_155CFC887	QUAC
Traes_7AS_2D3700F9E	QUAC
Traes_7AS_ADBA71B88	QUAC
Traes_1BL_763B0B9CC	QUAC
Traes_2BL_D14B887FC	QUAC
Traes_6BL_3937AF4A5	QUAC
Traes_1DL_59EF59749	QUAC
Traes_7BS_8FA5A67CB	QUAC
Traes_2DL_E77AE2391	QUAC
Traes_7DS_B67F78085	QUAC
Traes_2AL_473ADF58A	QUAC
